NOMBRE	EXPEDIENTE
GEZHOUBA YIPULI XINJIANG BLASTING ENGINEERING CO. LTDA	727929
CREDI FE DESARROLLO MICROEMPRESARIAL S.A.	87608
FARMADESCUENTO S.A.	131056
COMPUTRONSA S.A.	718959
HERBALIFE DEL ECUADOR S.A.	48255
ADAMA ANDINA B.V.	123531
SUPRALIVE S.A.	101348
INDUATENAS S.A.	30724
SUMEC COMPLETE EQUIPMENT & ENGINEERING CO., LTD.	711335
ECUA AUTO SA ECAUSA	1776
AVESCA AVICOLA ECUATORIANA CA	1655
EXP. E IMP. MANOBAL C. LTDA.	29487
CIRION TECHNOLOGIES ECUADOR S.A.	47953
EXPORTADORA DE BANANO DEL ORO EXBAORO CIA. LTDA.	142221
I.A.E. INDUSTRIA AGRICOLA EXPORTADORA INAEXPO C.A.	47680
ASISTENCIA ESPECIALIZADA DEL ECUADOR GEAECUADOR S.A.	93069
GRUPOFARMA DEL ECUADOR S.A.	49377
TECFOOD SERVICIOS DE ALIMENTACION S.A.	157018
GRUNENTHAL ECUATORIANA CIA LTDA	11923
ALPHACELL S.A.	109328
MERCK C.A	4859
DISTRIBUIDORA JOSE VERDEZOTO CIA. LTDA.	31316
DISTRISODA S.A.	126924
INDUSTRIA LOJANA DE ESPECERIAS ILE C.A.	30716
CHRIS ZAHAV & MORE COMERCIALIZADORA CHRIS ZAHAV & MORE CHRISZAHAV&MORE S.A.	708459
COMPANIA NACIONAL DE GAS CONGAS CA	7014
NEOAUTO S. A.	33950
CONSTRUCTORA CIUDADRODRIGO S.A.	45035
